Date,Region,Road_Type,Vehicle_Type,Vehicle_Count,Avg_Speed_kmph,Traffic_Density,Weather,Temperature_C,Humidity_%,Air_Quality_Index,Accidents_Reported,Signal_Delay_sec,Peak_Hour,Congestion_Level
05-03-2025,North Zone,Urban,Bus,4249,58,0.35,Sunny,24,71,53,2,221,Yes,High
06-03-2025,West Zone,Urban,Car,3226,23,0.39,Foggy,31,76,67,0,160,Yes,High
07-03-2025,West Zone,Highway,Bus,2660,46,0.61,Foggy,28,44,64,3,53,Yes,Medium
08-03-2025,West Zone,Rural,Car,2187,43,0.61,Rainy,26,46,189,4,230,Yes,Medium
09-03-2025,West Zone,Urban,Bike,1389,74,0.55,Sunny,34,43,184,3,164,Yes,Low
10-03-2025,Central Zone,Urban,Truck,845,29,0.91,Foggy,25,75,120,4,195,Yes,High
11-03-2025,North Zone,Rural,Bus,4868,53,0.93,Rainy,20,85,169,5,120,No,High
12-03-2025,Central Zone,Urban,Car,1412,49,0.73,Cloudy,36,54,57,5,279,Yes,Low
13-03-2025,East Zone,Rural,Car,3398,30,0.75,Rainy,24,83,65,3,104,Yes,Medium
14-03-2025,West Zone,Rural,Bike,810,47,0.31,Cloudy,23,46,61,1,274,Yes,Low
15-03-2025,South Zone,Rural,Car,3330,72,0.84,Rainy,24,83,101,3,138,Yes,Medium
16-03-2025,West Zone,Urban,Bus,3313,37,0.84,Rainy,20,85,154,4,89,No,Medium
17-03-2025,West Zone,Urban,Car,2935,73,0.35,Sunny,34,75,109,4,120,Yes,Medium
18-03-2025,Central Zone,Rural,Truck,4181,24,0.98,Rainy,28,88,127,3,73,Yes,High
19-03-2025,East Zone,Rural,Bus,3125,70,0.31,Cloudy,32,50,80,3,44,No,Medium
20-03-2025,West Zone,Highway,Car,3816,25,0.59,Cloudy,33,65,135,3,215,Yes,High
21-03-2025,North Zone,Rural,Bike,4892,61,0.53,Foggy,32,57,134,3,233,No,High
22-03-2025,North Zone,Highway,Bus,2585,69,0.78,Sunny,26,55,53,1,113,No,Medium
23-03-2025,North Zone,Urban,Car,2132,71,0.86,Sunny,27,81,186,4,74,Yes,Medium
24-03-2025,East Zone,Highway,Bike,4746,58,0.93,Cloudy,35,42,108,2,72,Yes,High
25-03-2025,East Zone,Urban,Bus,3604,55,0.32,Cloudy,22,50,104,0,232,No,High
26-03-2025,South Zone,Rural,Bike,3787,74,0.58,Sunny,37,66,142,2,205,Yes,High
27-03-2025,East Zone,Rural,Car,4723,52,0.46,Sunny,30,79,106,5,84,No,High
28-03-2025,West Zone,Rural,Bus,2423,37,0.73,Foggy,26,76,198,2,270,Yes,Medium
29-03-2025,West Zone,Highway,Bike,2748,51,0.55,Sunny,36,75,52,1,231,Yes,Medium
30-03-2025,West Zone,Rural,Bus,4088,20,0.79,Foggy,23,87,182,3,230,Yes,High
31-03-2025,South Zone,Rural,Car,3233,47,0.5,Rainy,25,60,123,2,54,No,Medium
01-04-2025,East Zone,Rural,Car,4099,66,0.98,Sunny,38,77,184,5,256,Yes,High
02-04-2025,South Zone,Rural,Car,4046,30,0.9,Foggy,33,44,144,1,60,Yes,High
03-04-2025,Central Zone,Rural,Truck,3749,43,0.93,Cloudy,27,83,63,5,193,No,High
04-04-2025,Central Zone,Urban,Car,3244,48,0.82,Cloudy,27,63,98,2,162,No,Medium
05-04-2025,North Zone,Highway,Truck,2407,66,0.97,Foggy,31,87,124,0,291,No,Medium
06-04-2025,Central Zone,Highway,Bus,1335,67,0.48,Sunny,23,59,192,4,40,Yes,Low
07-04-2025,North Zone,Rural,Bike,2770,61,0.47,Cloudy,35,90,199,4,238,Yes,Medium
08-04-2025,West Zone,Rural,Car,4971,31,0.31,Cloudy,22,69,190,4,298,Yes,High
09-04-2025,Central Zone,Urban,Bike,4435,43,0.64,Cloudy,35,86,89,1,233,No,High
10-04-2025,West Zone,Rural,Bus,1405,70,0.55,Rainy,24,65,134,4,263,No,Low
11-04-2025,North Zone,Rural,Bus,1323,24,0.49,Rainy,27,88,106,5,298,Yes,High
12-04-2025,West Zone,Highway,Bike,2793,73,0.78,Rainy,22,49,58,3,205,Yes,Medium
13-04-2025,Central Zone,Rural,Bus,4008,67,0.81,Cloudy,27,61,90,2,178,Yes,High
14-04-2025,Central Zone,Rural,Bike,4381,40,0.49,Sunny,38,64,127,2,132,No,High
15-04-2025,West Zone,Rural,Bus,4858,30,0.87,Rainy,29,71,87,3,155,No,High
16-04-2025,North Zone,Rural,Bike,3384,59,0.6,Cloudy,40,81,138,2,230,No,Medium
17-04-2025,South Zone,Highway,Bike,3169,69,0.64,Rainy,21,82,179,2,140,Yes,Medium
18-04-2025,West Zone,Urban,Bus,1785,67,0.38,Sunny,29,55,61,3,168,Yes,Low
19-04-2025,North Zone,Rural,Bus,1096,75,0.85,Sunny,38,52,88,4,186,No,Low
20-04-2025,Central Zone,Urban,Bus,1746,75,0.74,Rainy,35,50,132,5,179,No,Low
21-04-2025,South Zone,Rural,Bike,2182,29,0.75,Rainy,30,67,108,5,213,Yes,High
22-04-2025,East Zone,Highway,Bike,3934,72,0.64,Sunny,36,49,110,0,102,Yes,High
23-04-2025,East Zone,Urban,Car,1349,68,0.35,Rainy,24,48,93,4,74,No,Low
24-04-2025,West Zone,Highway,Bus,3828,73,0.87,Rainy,39,51,173,2,87,Yes,High
25-04-2025,West Zone,Highway,Truck,3750,43,0.58,Sunny,39,52,97,5,246,No,High
26-04-2025,South Zone,Highway,Bus,2731,47,0.43,Rainy,25,68,100,0,76,Yes,Medium
27-04-2025,North Zone,Rural,Car,3640,69,0.73,Foggy,32,48,191,4,48,No,High
28-04-2025,Central Zone,Highway,Bus,4093,49,0.49,Foggy,20,47,143,4,64,Yes,High
29-04-2025,South Zone,Urban,Bus,2970,63,0.96,Cloudy,34,46,100,2,224,Yes,Medium
30-04-2025,Central Zone,Rural,Car,2675,64,0.78,Sunny,33,55,171,3,268,No,Medium
01-05-2025,East Zone,Rural,Bike,1401,36,0.31,Cloudy,29,52,167,5,193,No,Low
02-05-2025,Central Zone,Rural,Car,1581,30,0.43,Rainy,34,70,102,3,121,Yes,Low
03-05-2025,East Zone,Urban,Car,1781,80,0.71,Rainy,35,48,109,5,225,No,Low
04-05-2025,North Zone,Rural,Car,3170,76,0.84,Cloudy,25,80,123,4,89,No,Medium
05-05-2025,Central Zone,Highway,Truck,4715,64,0.68,Foggy,22,44,81,4,169,No,High
06-05-2025,East Zone,Urban,Car,2513,64,0.54,Sunny,32,76,121,4,99,No,Medium
07-05-2025,East Zone,Rural,Car,4665,46,0.7,Foggy,21,43,100,4,159,Yes,High
08-05-2025,West Zone,Urban,Bike,2816,67,0.89,Sunny,34,84,139,3,290,Yes,Medium
09-05-2025,East Zone,Urban,Car,1733,40,0.7,Rainy,27,42,199,1,62,No,Low
10-05-2025,East Zone,Rural,Car,1633,43,0.97,Rainy,26,89,126,5,127,Yes,Low
11-05-2025,South Zone,Highway,Truck,2781,21,0.91,Sunny,20,68,132,5,97,No,High
12-05-2025,East Zone,Rural,Truck,3564,77,0.75,Cloudy,34,78,76,2,103,Yes,High
13-05-2025,Central Zone,Urban,Bike,4104,57,0.61,Foggy,28,62,179,4,250,Yes,High
14-05-2025,West Zone,Urban,Car,4326,61,0.61,Sunny,24,75,196,1,268,No,High
15-05-2025,North Zone,Rural,Truck,2627,69,0.93,Foggy,23,87,199,4,68,No,Medium
16-05-2025,North Zone,Urban,Truck,3951,43,0.68,Sunny,34,57,199,1,68,No,High
17-05-2025,South Zone,Urban,Bus,3110,80,0.36,Sunny,30,48,91,0,186,No,Medium
18-05-2025,North Zone,Rural,Truck,2044,77,0.96,Foggy,20,84,168,0,256,Yes,Medium
19-05-2025,Central Zone,Rural,Car,2201,27,0.35,Foggy,35,54,90,3,228,No,High
20-05-2025,North Zone,Rural,Bus,4903,39,0.89,Sunny,33,47,199,1,206,No,High
21-05-2025,Central Zone,Rural,Bike,3684,26,0.85,Foggy,24,77,135,2,233,Yes,High
22-05-2025,Central Zone,Urban,Car,2464,79,0.4,Foggy,28,43,57,3,38,Yes,Medium
23-05-2025,Central Zone,Highway,Truck,2873,76,0.59,Cloudy,25,70,90,2,295,No,Medium
24-05-2025,West Zone,Urban,Truck,3719,51,0.4,Cloudy,33,74,121,1,141,Yes,High
25-05-2025,North Zone,Rural,Bike,3564,34,0.47,Sunny,36,61,108,2,300,No,High
26-05-2025,West Zone,Urban,Bus,3712,67,0.5,Cloudy,37,49,53,0,105,Yes,High
27-05-2025,South Zone,Rural,Car,2244,31,0.71,Rainy,27,85,83,3,101,Yes,Medium
28-05-2025,East Zone,Rural,Bike,1634,30,0.86,Foggy,20,47,121,4,83,No,Low
29-05-2025,East Zone,Urban,Truck,4160,70,0.49,Rainy,40,87,147,3,258,No,High
30-05-2025,South Zone,Rural,Bike,870,57,0.84,Cloudy,37,65,158,2,260,No,Low
31-05-2025,East Zone,Urban,Truck,3778,26,0.89,Rainy,21,86,122,2,289,No,High
01-06-2025,East Zone,Urban,Car,842,20,0.38,Sunny,34,48,72,1,166,No,High
02-06-2025,West Zone,Rural,Truck,3253,49,0.48,Cloudy,20,87,68,0,98,No,Medium
03-06-2025,East Zone,Rural,Bus,2211,54,0.32,Cloudy,31,76,115,0,227,Yes,Medium
04-06-2025,North Zone,Highway,Truck,2261,23,0.97,Sunny,39,77,177,0,186,Yes,High
05-06-2025,East Zone,Urban,Bike,3504,61,0.69,Cloudy,38,48,62,0,268,Yes,High
06-06-2025,North Zone,Rural,Truck,2696,78,0.3,Rainy,40,90,187,5,61,No,Medium
07-06-2025,West Zone,Urban,Truck,4296,76,0.38,Rainy,26,44,78,2,251,No,High
08-06-2025,West Zone,Highway,Car,3659,21,0.71,Cloudy,30,70,167,3,67,Yes,High
09-06-2025,West Zone,Highway,Bus,1358,69,0.39,Rainy,31,69,198,1,74,Yes,Low
10-06-2025,North Zone,Highway,Bus,995,63,0.49,Rainy,38,81,70,5,199,No,Low
11-06-2025,Central Zone,Urban,Truck,4423,36,0.71,Cloudy,37,89,83,1,103,No,High
12-06-2025,North Zone,Highway,Bike,1489,46,0.44,Sunny,37,51,61,4,287,No,Low
13-06-2025,North Zone,Urban,Truck,3998,20,0.7,Rainy,22,59,65,5,230,Yes,High
14-06-2025,West Zone,Highway,Car,4000,68,0.53,Cloudy,40,41,89,1,131,Yes,High
15-06-2025,East Zone,Rural,Car,1956,78,0.37,Rainy,22,88,199,2,195,No,Medium
16-06-2025,South Zone,Rural,Bus,2421,53,0.65,Foggy,23,74,68,2,288,Yes,Medium
17-06-2025,North Zone,Urban,Bike,3207,45,0.79,Sunny,31,66,135,1,106,Yes,Medium
18-06-2025,West Zone,Highway,Car,1703,62,0.35,Sunny,27,85,125,4,80,No,Low
19-06-2025,Central Zone,Urban,Car,2046,56,0.9,Rainy,40,53,73,3,282,No,Medium
20-06-2025,East Zone,Rural,Truck,1192,30,0.94,Rainy,32,78,88,0,255,No,Low
21-06-2025,East Zone,Urban,Bus,3916,29,0.77,Cloudy,36,82,121,3,205,Yes,High
22-06-2025,Central Zone,Highway,Car,2462,59,0.37,Sunny,33,49,105,1,148,No,Medium
23-06-2025,East Zone,Rural,Bus,3530,47,0.73,Cloudy,33,86,50,5,236,Yes,High
24-06-2025,South Zone,Rural,Truck,1156,36,0.5,Foggy,29,73,142,0,220,No,Low
25-06-2025,South Zone,Highway,Car,2477,63,0.36,Sunny,33,53,132,1,77,No,Medium
26-06-2025,South Zone,Rural,Car,1484,77,0.75,Foggy,37,81,61,5,223,No,Low
27-06-2025,East Zone,Highway,Car,2102,41,0.75,Cloudy,21,85,54,5,130,Yes,Medium
28-06-2025,West Zone,Rural,Bus,3611,23,0.6,Foggy,33,88,112,1,38,Yes,High
29-06-2025,North Zone,Highway,Car,2661,71,0.5,Sunny,33,74,121,5,192,Yes,Medium
30-06-2025,Central Zone,Rural,Car,1661,71,0.32,Cloudy,33,42,66,4,51,No,Low
01-07-2025,East Zone,Urban,Truck,2107,31,0.66,Rainy,20,45,81,0,257,No,Medium
02-07-2025,West Zone,Urban,Truck,4481,78,0.42,Sunny,27,53,51,1,233,No,High
03-07-2025,West Zone,Urban,Bus,1322,48,0.96,Foggy,37,62,78,2,183,Yes,Low
04-07-2025,Central Zone,Rural,Bike,1909,36,0.63,Rainy,39,72,68,4,131,Yes,Medium
05-07-2025,South Zone,Rural,Bus,2223,53,0.86,Rainy,28,87,145,4,125,Yes,Medium
06-07-2025,North Zone,Rural,Car,3965,45,0.54,Rainy,24,50,198,5,140,Yes,High
07-07-2025,East Zone,Urban,Bus,2711,55,0.49,Rainy,38,83,73,5,134,Yes,Medium
08-07-2025,West Zone,Highway,Bus,940,80,0.63,Foggy,21,53,105,2,175,No,Low
09-07-2025,West Zone,Urban,Car,3892,49,0.71,Sunny,21,89,87,3,225,No,High
10-07-2025,Central Zone,Highway,Bike,4545,37,0.65,Cloudy,33,63,191,1,286,No,High
11-07-2025,Central Zone,Highway,Truck,4211,50,0.92,Foggy,26,50,148,0,235,No,High
12-07-2025,South Zone,Urban,Bike,3643,25,0.98,Rainy,39,64,153,3,256,Yes,High
13-07-2025,South Zone,Highway,Bus,4168,31,0.47,Rainy,25,85,125,2,273,Yes,High
14-07-2025,West Zone,Highway,Bus,2465,33,0.94,Sunny,28,71,87,3,130,Yes,Medium
15-07-2025,Central Zone,Rural,Bus,1010,20,0.75,Foggy,22,83,83,3,251,Yes,High
16-07-2025,Central Zone,Urban,Bus,1543,61,0.65,Sunny,27,58,177,1,94,No,Low
17-07-2025,Central Zone,Rural,Bus,4823,23,0.45,Cloudy,36,75,85,3,140,Yes,High
18-07-2025,East Zone,Highway,Bike,992,66,0.73,Cloudy,22,64,76,0,272,Yes,Low
19-07-2025,Central Zone,Highway,Truck,894,24,0.77,Sunny,39,59,120,1,294,No,High
20-07-2025,East Zone,Highway,Car,834,25,0.76,Sunny,33,72,194,3,105,Yes,High
21-07-2025,East Zone,Urban,Truck,1587,57,0.92,Cloudy,39,71,74,2,152,No,Low
22-07-2025,West Zone,Rural,Truck,2062,50,0.45,Sunny,35,48,129,2,33,Yes,Medium
23-07-2025,West Zone,Highway,Bike,4670,53,0.36,Foggy,26,46,190,5,97,Yes,High
24-07-2025,West Zone,Rural,Truck,3441,57,0.36,Cloudy,21,87,177,0,235,Yes,Medium
25-07-2025,Central Zone,Urban,Bus,4071,32,0.85,Rainy,32,83,77,4,238,Yes,High
26-07-2025,Central Zone,Urban,Truck,1277,55,0.43,Foggy,22,40,197,1,214,Yes,Low
27-07-2025,East Zone,Urban,Bike,1247,42,0.77,Rainy,39,40,146,4,206,No,Low
28-07-2025,North Zone,Rural,Car,2456,58,0.54,Foggy,34,87,175,5,276,No,Medium
29-07-2025,East Zone,Highway,Truck,3914,36,0.7,Rainy,30,80,95,1,36,Yes,High
30-07-2025,Central Zone,Rural,Truck,3363,71,0.74,Sunny,21,48,153,2,285,Yes,Medium
31-07-2025,West Zone,Urban,Truck,1190,61,0.4,Foggy,29,50,157,0,106,No,Low
01-08-2025,North Zone,Highway,Bus,3247,80,0.94,Rainy,36,40,144,3,61,Yes,Medium
02-08-2025,North Zone,Urban,Car,3535,58,0.4,Rainy,20,75,181,5,293,Yes,High
03-08-2025,North Zone,Rural,Bus,3843,39,0.76,Rainy,31,66,85,2,298,No,High
04-08-2025,North Zone,Rural,Truck,3087,70,0.64,Foggy,27,78,64,3,277,Yes,Medium
05-08-2025,Central Zone,Rural,Car,4232,36,0.31,Rainy,33,41,140,1,174,No,High
06-08-2025,East Zone,Urban,Bus,3023,69,0.62,Sunny,36,75,91,3,256,Yes,Medium
07-08-2025,West Zone,Rural,Bus,2274,53,0.47,Foggy,27,87,60,1,140,No,Medium
08-08-2025,Central Zone,Rural,Car,1469,75,0.66,Rainy,29,55,56,5,206,No,Low
09-08-2025,East Zone,Highway,Bike,3039,74,0.77,Cloudy,27,46,104,0,75,No,Medium
10-08-2025,North Zone,Rural,Bike,4211,40,0.92,Foggy,20,84,133,3,177,No,High
11-08-2025,East Zone,Highway,Truck,4351,80,0.49,Cloudy,36,41,128,4,144,No,High
12-08-2025,North Zone,Highway,Truck,3957,45,0.5,Cloudy,28,74,97,5,135,No,High
13-08-2025,North Zone,Rural,Car,2653,64,0.97,Cloudy,36,64,55,0,51,No,Medium
14-08-2025,West Zone,Rural,Truck,947,71,0.75,Foggy,37,62,160,0,258,No,Low
15-08-2025,North Zone,Rural,Truck,3540,63,0.78,Sunny,30,71,129,5,284,No,High
16-08-2025,West Zone,Urban,Bike,2741,34,0.68,Sunny,33,83,80,4,253,Yes,Medium
17-08-2025,South Zone,Highway,Bus,4597,36,0.58,Rainy,21,51,106,5,143,No,High
18-08-2025,North Zone,Urban,Car,3502,69,0.67,Rainy,33,41,173,4,195,Yes,High
19-08-2025,East Zone,Urban,Truck,2565,61,0.83,Sunny,35,83,175,3,260,No,Medium
20-08-2025,East Zone,Rural,Bus,3746,20,0.88,Sunny,31,61,72,3,182,Yes,High
21-08-2025,Central Zone,Rural,Truck,4826,37,0.57,Rainy,38,84,104,3,223,No,High
22-08-2025,Central Zone,Highway,Bike,1174,55,0.88,Foggy,40,83,158,5,138,No,Low
23-08-2025,West Zone,Urban,Bike,2379,34,0.58,Foggy,26,61,98,0,167,No,Medium
24-08-2025,West Zone,Highway,Car,2731,71,0.51,Rainy,37,71,119,2,147,No,Medium
25-08-2025,West Zone,Highway,Car,2224,46,0.39,Sunny,35,41,198,1,82,Yes,Medium
26-08-2025,South Zone,Highway,Bike,3643,51,0.91,Rainy,31,66,106,3,127,No,High
27-08-2025,South Zone,Rural,Car,2543,74,0.62,Sunny,38,44,103,0,188,Yes,Medium
28-08-2025,South Zone,Highway,Truck,943,72,0.77,Rainy,37,87,177,5,165,No,Low
29-08-2025,South Zone,Rural,Bus,1277,64,0.48,Sunny,31,82,150,5,53,Yes,Low
30-08-2025,Central Zone,Urban,Car,1203,62,0.46,Sunny,36,47,82,2,37,Yes,Low
31-08-2025,Central Zone,Urban,Car,1444,52,0.69,Rainy,30,47,81,1,288,Yes,Low
01-09-2025,South Zone,Rural,Car,4867,59,0.6,Sunny,38,71,115,1,46,Yes,High
02-09-2025,West Zone,Rural,Bus,2469,60,0.54,Sunny,40,42,186,4,201,No,Medium
03-09-2025,Central Zone,Highway,Truck,942,38,0.89,Rainy,26,75,139,0,162,Yes,Low
04-09-2025,Central Zone,Highway,Car,997,28,0.72,Sunny,27,90,168,2,218,No,High
05-09-2025,South Zone,Highway,Bus,4361,74,0.82,Cloudy,40,77,92,2,243,No,High
06-09-2025,East Zone,Highway,Car,3709,58,0.68,Rainy,36,43,172,5,295,Yes,High
07-09-2025,East Zone,Urban,Bike,1566,61,0.46,Cloudy,21,89,93,1,91,Yes,Low
08-09-2025,Central Zone,Urban,Bike,2857,58,0.96,Foggy,22,74,126,0,181,Yes,Medium
09-09-2025,Central Zone,Urban,Car,1945,33,0.73,Cloudy,40,58,54,3,164,Yes,Medium
10-09-2025,East Zone,Rural,Bike,2473,50,0.45,Rainy,32,40,74,3,158,No,Medium
11-09-2025,South Zone,Rural,Bus,2992,34,0.7,Sunny,22,84,76,2,166,No,Medium
12-09-2025,South Zone,Highway,Bus,3785,67,0.95,Rainy,23,77,96,2,270,Yes,High
13-09-2025,East Zone,Urban,Truck,4618,34,0.84,Foggy,33,90,160,4,210,No,High
14-09-2025,West Zone,Rural,Car,1432,59,0.67,Foggy,33,78,170,2,92,Yes,Low
15-09-2025,West Zone,Rural,Truck,2135,80,0.54,Cloudy,21,42,84,3,285,No,Medium
16-09-2025,Central Zone,Rural,Bike,1033,33,0.38,Foggy,37,52,83,1,54,No,Low
17-09-2025,West Zone,Urban,Truck,3514,78,0.97,Sunny,22,70,166,4,165,Yes,High
18-09-2025,Central Zone,Urban,Car,2744,54,0.75,Sunny,24,79,196,0,246,Yes,Medium
19-09-2025,Central Zone,Highway,Bike,4141,45,0.98,Foggy,28,45,79,2,33,No,High
20-09-2025,North Zone,Rural,Bus,1439,54,0.84,Cloudy,27,83,83,4,128,No,Low
21-09-2025,Central Zone,Rural,Car,3288,37,0.91,Foggy,20,62,101,4,267,Yes,Medium
22-09-2025,Central Zone,Urban,Bike,2618,80,0.35,Sunny,25,54,101,1,222,No,Medium
23-09-2025,North Zone,Rural,Bike,3147,55,0.55,Foggy,21,51,50,0,147,No,Medium
24-09-2025,North Zone,Urban,Bus,1070,27,0.51,Sunny,40,88,68,3,199,Yes,High
25-09-2025,West Zone,Rural,Bus,2321,26,0.65,Foggy,22,60,139,5,111,Yes,High
26-09-2025,South Zone,Rural,Car,4833,76,0.4,Sunny,24,65,103,3,265,No,High
27-09-2025,Central Zone,Rural,Car,4163,36,0.43,Sunny,29,78,59,5,76,Yes,High
28-09-2025,East Zone,Rural,Bike,2373,51,0.83,Sunny,30,75,134,0,281,No,Medium
29-09-2025,West Zone,Rural,Truck,3831,55,0.42,Foggy,31,82,91,5,193,Yes,High
30-09-2025,North Zone,Highway,Car,3988,60,0.97,Sunny,33,45,144,4,127,No,High
01-10-2025,North Zone,Rural,Truck,4747,51,0.7,Foggy,33,84,132,2,55,Yes,High
02-10-2025,South Zone,Rural,Car,1166,42,0.71,Foggy,38,47,89,5,232,No,Low
